run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
VoIP-UL-0-20250917-22:24:49-144340,runattr,,,configname,VoIP-UL,,,
VoIP-UL-0-20250917-22:24:49-144340,runattr,,,datetime,20250917-22:24:49,,,
VoIP-UL-0-20250917-22:24:49-144340,runattr,,,experiment,VoIP-UL,,,
VoIP-UL-0-20250917-22:24:49-144340,runattr,,,inifile,omnetpp.ini,,,
VoIP-UL-0-20250917-22:24:49-144340,runattr,,,iterationvars,,,,
VoIP-UL-0-20250917-22:24:49-144340,runattr,,,iterationvarsf,,,,
VoIP-UL-0-20250917-22:24:49-144340,runattr,,,measurement,,,,
VoIP-UL-0-20250917-22:24:49-144340,runattr,,,network,simu5g.simulations.NR.cars.Highway,,,
VoIP-UL-0-20250917-22:24:49-144340,runattr,,,processid,144340,,,
VoIP-UL-0-20250917-22:24:49-144340,runattr,,,repetition,0,,,
VoIP-UL-0-20250917-22:24:49-144340,runattr,,,replication,#0,,,
VoIP-UL-0-20250917-22:24:49-144340,runattr,,,resultdir,results,,,
VoIP-UL-0-20250917-22:24:49-144340,runattr,,,runnumber,0,,,
VoIP-UL-0-20250917-22:24:49-144340,runattr,,,seedset,0,,,
VoIP-UL-0-20250917-22:24:49-144340,param,,,*.server.numApps,10,,,
VoIP-UL-0-20250917-22:24:49-144340,param,,,*.server.app[*].typename,"""VoIPReceiver""",,,
VoIP-UL-0-20250917-22:24:49-144340,param,,,*.server.app[*].localPort,3000 + ancestorIndex(0),,,
VoIP-UL-0-20250917-22:24:49-144340,param,,,*.car[*].numApps,1,,,
VoIP-UL-0-20250917-22:24:49-144340,param,,,*.car[*].app[0].typename,"""VoIPSender""",,,
VoIP-UL-0-20250917-22:24:49-144340,param,,,*.car[*].app[0].destAddress,"""server""",,,
VoIP-UL-0-20250917-22:24:49-144340,param,,,*.car[*].app[0].destPort,3000 + ancestorIndex(1),,,
VoIP-UL-0-20250917-22:24:49-144340,param,,,**.routingRecorder.enabled,false,,,
VoIP-UL-0-20250917-22:24:49-144340,param,,,*.playgroundSizeX,20000m,,,
VoIP-UL-0-20250917-22:24:49-144340,param,,,*.playgroundSizeY,20000m,,,
VoIP-UL-0-20250917-22:24:49-144340,param,,,*.playgroundSizeZ,50m,,,
VoIP-UL-0-20250917-22:24:49-144340,param,,,*.veinsManager.host,"""localhost""",,,
